design_id,split,family,task_id,seed,policy,verify_enabled,status,solved,accounted_cost_usd,provider_reported_cost_usd,conservative_reserve_usd,elapsed_s,tool_calls,attempts,model_events,provider_retries,tokens_complete,known_tokens,unknown_token_upper_bound,hidden_passed,hidden_total,public_passed,public_total,verification_calls,verification_elapsed_s,caught_supplemental_failures,supplemental_grader_disagreement,supplemental_grader_disagreement_direction,success_after_repair,regressions_introduced,unnecessary_edits
47:external_boltons_math-repair-3:adaptive:verify-0,external,external_boltons_math,external_boltons_math-repair-3,47,adaptive,0,completed,1,0.000646,0.000646,0,54.614115,4,2,2,0,1,8058,0,6,6,3,3,0,0,0,unknown,,1,0,0
47:external_boltons_math-repair-3:adaptive:verify-1,external,external_boltons_math,external_boltons_math-repair-3,47,adaptive,1,completed,1,0.000468,0.000468,0,46.989455,5,2,2,0,1,6955,0,6,6,3,3,1,0.503197,0,0,,1,0,0
73:external_boltons_math-repair-1:adaptive:verify-0,external,external_boltons_math,external_boltons_math-repair-1,73,adaptive,0,completed,1,0.000177,0.000177,0,9.273397,3,1,1,0,1,3131,0,6,6,3,3,0,0,0,unknown,,0,0,0
73:external_boltons_math-repair-1:adaptive:verify-1,external,external_boltons_math,external_boltons_math-repair-1,73,adaptive,1,completed,1,0.000179,0.000179,0,20.579806,4,1,1,0,1,3141,0,6,6,3,3,1,0.553564,0,0,,0,0,0
73:external_boltons_math-repair-2:adaptive:verify-0,external,external_boltons_math,external_boltons_math-repair-2,73,adaptive,0,completed,1,0.000157,0.000157,0,7.954326,3,1,1,0,1,3012,0,6,6,3,3,0,0,0,unknown,,0,0,0
73:external_boltons_math-repair-2:adaptive:verify-1,external,external_boltons_math,external_boltons_math-repair-2,73,adaptive,1,completed,1,0.000157,0.000157,0,9.406059,4,1,1,0,1,3016,0,6,6,3,3,1,0.452999,0,0,,0,0,0
73:external_boltons_math-repair-3:adaptive:verify-0,external,external_boltons_math,external_boltons_math-repair-3,73,adaptive,0,completed,1,0.000465,0.00046499999999999997,5.421010862427522e-20,33.274242,4,2,2,0,1,6935,0,6,6,3,3,0,0,0,unknown,,1,0,0
73:external_boltons_math-repair-3:adaptive:verify-1,external,external_boltons_math,external_boltons_math-repair-3,73,adaptive,1,completed,1,0.000195,0.000195,0,16.291115,4,1,1,0,1,3236,0,6,6,3,3,1,0.555345,0,0,,0,0,1
101:external_boltons_math-repair-1:adaptive:verify-0,external,external_boltons_math,external_boltons_math-repair-1,101,adaptive,0,completed,1,0.000182,0.000182,0,20.562321,3,1,1,0,1,3158,0,6,6,3,3,0,0,0,unknown,,0,0,0
101:external_boltons_math-repair-1:adaptive:verify-1,external,external_boltons_math,external_boltons_math-repair-1,101,adaptive,1,completed,1,0.000194,0.000194,0,13.068004,4,1,1,0,1,3232,0,6,6,3,3,1,0.503629,0,0,,0,0,0
101:external_boltons_math-repair-2:adaptive:verify-0,external,external_boltons_math,external_boltons_math-repair-2,101,adaptive,0,completed,1,0.000154,0.000154,0,13.894852,3,1,1,0,1,2997,0,6,6,3,3,0,0,0,unknown,,0,0,0
101:external_boltons_math-repair-2:adaptive:verify-1,external,external_boltons_math,external_boltons_math-repair-2,101,adaptive,1,completed,1,0.000155,0.000155,0,11.067166,4,1,1,0,1,2999,0,6,6,3,3,1,0.507041,0,0,,0,0,0
101:external_boltons_math-repair-3:adaptive:verify-0,external,external_boltons_math,external_boltons_math-repair-3,101,adaptive,0,completed,1,0.000206,0.000206,0,13.350313,3,1,1,0,1,3299,0,6,6,3,3,0,0,0,unknown,,0,0,1
101:external_boltons_math-repair-3:adaptive:verify-1,external,external_boltons_math,external_boltons_math-repair-3,101,adaptive,1,completed,1,0.000343,0.000343,0,32.508824,4,1,1,0,1,4108,0,6,6,3,3,1,0.452936,0,0,,0,0,0
31:external_boltons_math-repair-1:cheap_only:verify-0,external,external_boltons_math,external_boltons_math-repair-1,31,cheap_only,0,completed,1,0.000343,0.000343,0,18.246113,3,1,1,0,1,4586,0,6,6,3,3,0,0,0,unknown,,0,0,1
31:external_boltons_math-repair-1:cheap_only:verify-1,external,external_boltons_math,external_boltons_math-repair-1,31,cheap_only,1,completed,1,0.000333,0.000333,0,16.881664,4,1,1,0,1,4505,0,6,6,3,3,1,0.452225,0,0,,0,0,1
31:external_boltons_math-repair-2:cheap_only:verify-0,external,external_boltons_math,external_boltons_math-repair-2,31,cheap_only,0,completed,1,0.000339,0.000339,0,16.226061,3,1,1,0,1,4556,0,6,6,3,3,0,0,0,unknown,,0,0,0
31:external_boltons_math-repair-2:cheap_only:verify-1,external,external_boltons_math,external_boltons_math-repair-2,31,cheap_only,1,completed,1,0.000346,0.000346,0,15.809647,4,1,1,0,1,4603,0,6,6,3,3,1,0.452443,0,0,,0,0,0
31:external_boltons_math-repair-3:cheap_only:verify-0,external,external_boltons_math,external_boltons_math-repair-3,31,cheap_only,0,completed,1,0.000341,0.000341,0,13.942264,3,1,1,0,1,4567,0,6,6,3,3,0,0,0,unknown,,0,0,0
31:external_boltons_math-repair-3:cheap_only:verify-1,external,external_boltons_math,external_boltons_math-repair-3,31,cheap_only,1,completed,1,0.00053,0.00053,0,23.431954,5,2,2,0,1,7970,0,6,6,3,3,1,0.452196,0,0,,1,0,0
47:external_boltons_math-repair-1:cheap_only:verify-0,external,external_boltons_math,external_boltons_math-repair-1,47,cheap_only,0,completed,1,0.00033,0.00033,0,8.633144,3,1,1,0,1,4480,0,6,6,3,3,0,0,0,unknown,,0,0,1
47:external_boltons_math-repair-1:cheap_only:verify-1,external,external_boltons_math,external_boltons_math-repair-1,47,cheap_only,1,completed,1,0.00033,0.00033,0,10.751287,4,1,1,0,1,4480,0,6,6,3,3,1,0.45358,0,0,,0,0,1
47:external_boltons_math-repair-2:cheap_only:verify-0,external,external_boltons_math,external_boltons_math-repair-2,47,cheap_only,0,completed,1,0.000335,0.000335,0,9.510803,3,1,1,0,1,4522,0,6,6,3,3,0,0,0,unknown,,0,0,1
47:external_boltons_math-repair-2:cheap_only:verify-1,external,external_boltons_math,external_boltons_math-repair-2,47,cheap_only,1,completed,1,0.000338,0.000338,0,9.345633,4,1,1,0,1,4543,0,6,6,3,3,1,0.453445,0,0,,0,0,1
47:external_boltons_math-repair-3:cheap_only:verify-0,external,external_boltons_math,external_boltons_math-repair-3,47,cheap_only,0,completed,1,0.000516,0.000516,0,16.758371,4,2,2,0,1,7866,0,6,6,3,3,0,0,0,unknown,,1,0,0
47:external_boltons_math-repair-3:cheap_only:verify-1,external,external_boltons_math,external_boltons_math-repair-3,47,cheap_only,1,completed,1,0.000508,0.000508,0,14.327649,5,2,2,0,1,7803,0,6,6,3,3,1,0.502904,0,0,,1,0,0
73:external_boltons_math-repair-1:cheap_only:verify-0,external,external_boltons_math,external_boltons_math-repair-1,73,cheap_only,0,completed,1,0.000329,0.000329,0,13.08432,3,1,1,0,1,4475,0,6,6,3,3,0,0,0,unknown,,0,0,1
73:external_boltons_math-repair-1:cheap_only:verify-1,external,external_boltons_math,external_boltons_math-repair-1,73,cheap_only,1,completed,1,0.000335,0.000335,0,11.983246,4,1,1,0,1,4520,0,6,6,3,3,1,0.503086,0,0,,0,0,1
73:external_boltons_math-repair-2:cheap_only:verify-0,external,external_boltons_math,external_boltons_math-repair-2,73,cheap_only,0,completed,1,0.000334,0.000334,0,10.825863,3,1,1,0,1,4516,0,6,6,3,3,0,0,0,unknown,,0,0,1
73:external_boltons_math-repair-2:cheap_only:verify-1,external,external_boltons_math,external_boltons_math-repair-2,73,cheap_only,1,completed,1,0.000331,0.000331,0,11.300223,4,1,1,0,1,4493,0,6,6,3,3,1,0.50309,0,0,,0,0,1
73:external_boltons_math-repair-3:cheap_only:verify-0,external,external_boltons_math,external_boltons_math-repair-3,73,cheap_only,0,completed,1,0.000579,0.000579,0,18.003828,4,2,2,0,1,8352,0,6,6,3,3,0,0,0,unknown,,1,0,0
73:external_boltons_math-repair-3:cheap_only:verify-1,external,external_boltons_math,external_boltons_math-repair-3,73,cheap_only,1,completed,1,0.000502,0.000502,0,16.83904,5,2,2,0,1,7754,0,6,6,3,3,1,0.502115,0,0,,1,0,0
101:external_boltons_math-repair-1:cheap_only:verify-0,external,external_boltons_math,external_boltons_math-repair-1,101,cheap_only,0,completed,1,0.00033,0.00033,0,12.00876,3,1,1,0,1,4479,0,6,6,3,3,0,0,0,unknown,,0,0,1
101:external_boltons_math-repair-1:cheap_only:verify-1,external,external_boltons_math,external_boltons_math-repair-1,101,cheap_only,1,completed,1,0.000334,0.000334,0,15.738446,4,1,1,0,1,4510,0,6,6,3,3,1,0.452275,0,0,,0,0,1
101:external_boltons_math-repair-2:cheap_only:verify-0,external,external_boltons_math,external_boltons_math-repair-2,101,cheap_only,0,completed,1,0.000334,0.000334,0,12.690932,3,1,1,0,1,4511,0,6,6,3,3,0,0,0,unknown,,0,0,1
101:external_boltons_math-repair-2:cheap_only:verify-1,external,external_boltons_math,external_boltons_math-repair-2,101,cheap_only,1,completed,1,0.000335,0.000335,0,17.038691,4,1,1,0,1,4518,0,6,6,3,3,1,0.503422,0,0,,0,0,0
101:external_boltons_math-repair-3:cheap_only:verify-0,external,external_boltons_math,external_boltons_math-repair-3,101,cheap_only,0,completed,1,0.000503,0.000503,0,22.210756,4,2,2,0,1,7759,0,6,6,3,3,0,0,0,unknown,,1,0,0
101:external_boltons_math-repair-3:cheap_only:verify-1,external,external_boltons_math,external_boltons_math-repair-3,101,cheap_only,1,completed,1,0.000336,0.000336,0,18.334405,4,1,1,0,1,4530,0,6,6,3,3,1,0.504992,0,0,,0,0,0
31:external_boltons_math-repair-1:escalate_on_failure:verify-0,external,external_boltons_math,external_boltons_math-repair-1,31,escalate_on_failure,0,completed,1,0.000336,0.000336,0,16.669452,3,1,1,0,1,4527,0,6,6,3,3,0,0,0,unknown,,0,0,1
31:external_boltons_math-repair-1:escalate_on_failure:verify-1,external,external_boltons_math,external_boltons_math-repair-1,31,escalate_on_failure,1,completed,1,0.00034,0.00034,0,15.943529,4,1,1,0,1,4561,0,6,6,3,3,1,0.451196,0,0,,0,0,1
31:external_boltons_math-repair-2:escalate_on_failure:verify-0,external,external_boltons_math,external_boltons_math-repair-2,31,escalate_on_failure,0,completed,1,0.000332,0.000332,0,17.034861,3,1,1,0,1,4500,0,6,6,3,3,0,0,0,unknown,,0,0,1
31:external_boltons_math-repair-2:escalate_on_failure:verify-1,external,external_boltons_math,external_boltons_math-repair-2,31,escalate_on_failure,1,completed,1,0.000348,0.000348,0,16.329123,4,1,1,0,1,4619,0,6,6,3,3,1,0.50318,0,0,,0,0,1
31:external_boltons_math-repair-3:escalate_on_failure:verify-0,external,external_boltons_math,external_boltons_math-repair-3,31,escalate_on_failure,0,completed,1,0.000564,0.000564,0,47.322148,4,2,2,0,1,7823,0,6,6,3,3,0,0,0,unknown,,1,0,0
31:external_boltons_math-repair-3:escalate_on_failure:verify-1,external,external_boltons_math,external_boltons_math-repair-3,31,escalate_on_failure,1,completed,1,0.000288,0.000288,0,18.310679,4,1,1,0,1,4163,0,6,6,3,3,1,0.451806,0,0,,0,0,0
47:external_boltons_math-repair-1:escalate_on_failure:verify-0,external,external_boltons_math,external_boltons_math-repair-1,47,escalate_on_failure,0,completed,1,0.000334,0.000334,0,9.430486,3,1,1,0,1,4515,0,6,6,3,3,0,0,0,unknown,,0,0,1
47:external_boltons_math-repair-1:escalate_on_failure:verify-1,external,external_boltons_math,external_boltons_math-repair-1,47,escalate_on_failure,1,completed,1,0.000336,0.000336,0,10.612727,4,1,1,0,1,4528,0,6,6,3,3,1,0.502058,0,0,,0,0,1
47:external_boltons_math-repair-2:escalate_on_failure:verify-0,external,external_boltons_math,external_boltons_math-repair-2,47,escalate_on_failure,0,completed,1,0.000341,0.000341,0,10.245579,3,1,1,0,1,4567,0,6,6,3,3,0,0,0,unknown,,0,0,1
47:external_boltons_math-repair-2:escalate_on_failure:verify-1,external,external_boltons_math,external_boltons_math-repair-2,47,escalate_on_failure,1,completed,1,0.000338,0.000338,0,9.639324,4,1,1,0,1,4543,0,6,6,3,3,1,0.452288,0,0,,0,0,1
47:external_boltons_math-repair-3:escalate_on_failure:verify-0,external,external_boltons_math,external_boltons_math-repair-3,47,escalate_on_failure,0,completed,1,0.000564,0.000564,0,45.432237,4,2,2,0,1,7830,0,6,6,3,3,0,0,0,unknown,,1,0,0
47:external_boltons_math-repair-3:escalate_on_failure:verify-1,external,external_boltons_math,external_boltons_math-repair-3,47,escalate_on_failure,1,completed,1,0.000562,0.000562,0,52.012415,5,2,2,0,1,7823,0,6,6,3,3,1,0.45414,0,0,,1,0,0
73:external_boltons_math-repair-1:escalate_on_failure:verify-0,external,external_boltons_math,external_boltons_math-repair-1,73,escalate_on_failure,0,completed,1,0.000329,0.000329,0,10.879039,3,1,1,0,1,4475,0,6,6,3,3,0,0,0,unknown,,0,0,1
73:external_boltons_math-repair-1:escalate_on_failure:verify-1,external,external_boltons_math,external_boltons_math-repair-1,73,escalate_on_failure,1,completed,1,0.000336,0.000336,0,11.11233,4,1,1,0,1,4531,0,6,6,3,3,1,0.50488,0,0,,0,0,1
73:external_boltons_math-repair-2:escalate_on_failure:verify-0,external,external_boltons_math,external_boltons_math-repair-2,73,escalate_on_failure,0,completed,1,0.000331,0.000331,0,10.52478,3,1,1,0,1,4493,0,6,6,3,3,0,0,0,unknown,,0,0,1
73:external_boltons_math-repair-2:escalate_on_failure:verify-1,external,external_boltons_math,external_boltons_math-repair-2,73,escalate_on_failure,1,completed,1,0.000331,0.000331,0,12.199568,4,1,1,0,1,4493,0,6,6,3,3,1,0.501953,0,0,,0,0,1
73:external_boltons_math-repair-3:escalate_on_failure:verify-0,external,external_boltons_math,external_boltons_math-repair-3,73,escalate_on_failure,0,completed,1,0.000563,0.000563,0,38.799895,4,2,2,0,1,7826,0,6,6,3,3,0,0,0,unknown,,1,0,0
73:external_boltons_math-repair-3:escalate_on_failure:verify-1,external,external_boltons_math,external_boltons_math-repair-3,73,escalate_on_failure,1,completed,1,0.000562,0.000562,0,30.658913,5,2,2,0,1,7815,0,6,6,3,3,1,0.452317,0,0,,1,0,0
101:external_boltons_math-repair-1:escalate_on_failure:verify-0,external,external_boltons_math,external_boltons_math-repair-1,101,escalate_on_failure,0,completed,1,0.000334,0.000334,0,12.797848,3,1,1,0,1,4514,0,6,6,3,3,0,0,0,unknown,,0,0,1
101:external_boltons_math-repair-1:escalate_on_failure:verify-1,external,external_boltons_math,external_boltons_math-repair-1,101,escalate_on_failure,1,completed,1,0.000334,0.000334,0,12.680905,4,1,1,0,1,4511,0,6,6,3,3,1,0.504192,0,0,,0,0,1
101:external_boltons_math-repair-2:escalate_on_failure:verify-0,external,external_boltons_math,external_boltons_math-repair-2,101,escalate_on_failure,0,completed,1,0.000334,0.000334,0,18.112256,3,1,1,0,1,4511,0,6,6,3,3,0,0,0,unknown,,0,0,1
101:external_boltons_math-repair-2:escalate_on_failure:verify-1,external,external_boltons_math,external_boltons_math-repair-2,101,escalate_on_failure,1,completed,1,0.000335,0.000335,0,12.106975,4,1,1,0,1,4518,0,6,6,3,3,1,0.556318,0,0,,0,0,0
101:external_boltons_math-repair-3:escalate_on_failure:verify-0,external,external_boltons_math,external_boltons_math-repair-3,101,escalate_on_failure,0,completed,1,0.000257,0.000257,0,9.585523,3,1,1,0,1,3922,0,6,6,3,3,0,0,0,unknown,,0,0,0
101:external_boltons_math-repair-3:escalate_on_failure:verify-1,external,external_boltons_math,external_boltons_math-repair-3,101,escalate_on_failure,1,completed,1,0.002165,0.000562,0.0016029999999999998,71.722797,5,3,3,1,0,7810,15675,6,6,3,3,1,0.452823,0,0,,1,0,0
31:external_boltons_math-repair-1:static_router:verify-0,external,external_boltons_math,external_boltons_math-repair-1,31,static_router,0,completed,1,0.000335,0.000335,0,16.188967,3,1,1,0,1,4517,0,6,6,3,3,0,0,0,unknown,,0,0,1
31:external_boltons_math-repair-1:static_router:verify-1,external,external_boltons_math,external_boltons_math-repair-1,31,static_router,1,completed,1,0.000333,0.000333,0,14.409278,4,1,1,0,1,4505,0,6,6,3,3,1,0.453433,0,0,,0,0,1
31:external_boltons_math-repair-2:static_router:verify-0,external,external_boltons_math,external_boltons_math-repair-2,31,static_router,0,completed,1,0.000341,0.000341,0,14.193486,3,1,1,0,1,4570,0,6,6,3,3,0,0,0,unknown,,0,0,1
31:external_boltons_math-repair-2:static_router:verify-1,external,external_boltons_math,external_boltons_math-repair-2,31,static_router,1,completed,1,0.000332,0.000332,0,23.558928,4,1,1,0,1,4500,0,6,6,3,3,1,0.452619,0,0,,0,0,1
31:external_boltons_math-repair-3:static_router:verify-0,external,external_boltons_math,external_boltons_math-repair-3,31,static_router,0,completed,1,0.000504,0.000504,0,21.295575,4,2,2,0,1,7773,0,6,6,3,3,0,0,0,unknown,,1,0,0
31:external_boltons_math-repair-3:static_router:verify-1,external,external_boltons_math,external_boltons_math-repair-3,31,static_router,1,completed,1,0.000342,0.000342,0,19.008191,5,2,2,0,1,6527,0,6,6,3,3,1,0.503777,0,0,,1,0,0
47:external_boltons_math-repair-1:static_router:verify-0,external,external_boltons_math,external_boltons_math-repair-1,47,static_router,0,completed,1,0.00033,0.00033,0,8.760714,3,1,1,0,1,4480,0,6,6,3,3,0,0,0,unknown,,0,0,1
47:external_boltons_math-repair-1:static_router:verify-1,external,external_boltons_math,external_boltons_math-repair-1,47,static_router,1,completed,1,0.000334,0.000334,0,9.329213,4,1,1,0,1,4515,0,6,6,3,3,1,0.452333,0,0,,0,0,1
47:external_boltons_math-repair-2:static_router:verify-0,external,external_boltons_math,external_boltons_math-repair-2,47,static_router,0,completed,1,0.000335,0.000335,0,9.864705,3,1,1,0,1,4525,0,6,6,3,3,0,0,0,unknown,,0,0,0
47:external_boltons_math-repair-2:static_router:verify-1,external,external_boltons_math,external_boltons_math-repair-2,47,static_router,1,completed,1,0.000338,0.000338,0,9.014878,4,1,1,0,1,4542,0,6,6,3,3,1,0.401719,0,0,,0,0,1
47:external_boltons_math-repair-3:static_router:verify-0,external,external_boltons_math,external_boltons_math-repair-3,47,static_router,0,completed,1,0.000592,0.0005920000000000001,0,20.581652,4,2,2,0,1,8448,0,6,6,3,3,0,0,0,unknown,,1,0,0
47:external_boltons_math-repair-3:static_router:verify-1,external,external_boltons_math,external_boltons_math-repair-3,47,static_router,1,completed,1,0.000509,0.000509,0,14.622647,5,2,2,0,1,7810,0,6,6,3,3,1,0.452645,0,0,,1,0,0
73:external_boltons_math-repair-1:static_router:verify-0,external,external_boltons_math,external_boltons_math-repair-1,73,static_router,0,completed,1,0.000335,0.000335,0,14.100214,3,1,1,0,1,4520,0,6,6,3,3,0,0,0,unknown,,0,0,1
73:external_boltons_math-repair-1:static_router:verify-1,external,external_boltons_math,external_boltons_math-repair-1,73,static_router,1,completed,1,0.000335,0.000335,0,13.025721,4,1,1,0,1,4520,0,6,6,3,3,1,0.503371,0,0,,0,0,1
73:external_boltons_math-repair-2:static_router:verify-0,external,external_boltons_math,external_boltons_math-repair-2,73,static_router,0,completed,1,0.000335,0.000335,0,12.874283,3,1,1,0,1,4519,0,6,6,3,3,0,0,0,unknown,,0,0,1
73:external_boltons_math-repair-2:static_router:verify-1,external,external_boltons_math,external_boltons_math-repair-2,73,static_router,1,completed,1,0.000331,0.000331,0,13.193469,4,1,1,0,1,4493,0,6,6,3,3,1,0.503131,0,0,,0,0,1
73:external_boltons_math-repair-3:static_router:verify-0,external,external_boltons_math,external_boltons_math-repair-3,73,static_router,0,completed,1,0.000583,0.000583,0,17.852237,4,2,2,0,1,8375,0,6,6,3,3,0,0,0,unknown,,1,0,0
73:external_boltons_math-repair-3:static_router:verify-1,external,external_boltons_math,external_boltons_math-repair-3,73,static_router,1,completed,1,0.000501,0.000501,0,16.343837,5,2,2,0,1,7744,0,6,6,3,3,1,0.659308,0,0,,1,0,0
101:external_boltons_math-repair-1:static_router:verify-0,external,external_boltons_math,external_boltons_math-repair-1,101,static_router,0,completed,1,0.000334,0.000334,0,11.968658,3,1,1,0,1,4514,0,6,6,3,3,0,0,0,unknown,,0,0,1
101:external_boltons_math-repair-1:static_router:verify-1,external,external_boltons_math,external_boltons_math-repair-1,101,static_router,1,completed,1,0.000336,0.000336,0,13.815969,4,1,1,0,1,4532,0,6,6,3,3,1,0.506284,0,0,,0,0,1
101:external_boltons_math-repair-2:static_router:verify-0,external,external_boltons_math,external_boltons_math-repair-2,101,static_router,0,completed,1,0.000334,0.000334,0,16.073341,3,1,1,0,1,4515,0,6,6,3,3,0,0,0,unknown,,0,0,1
101:external_boltons_math-repair-2:static_router:verify-1,external,external_boltons_math,external_boltons_math-repair-2,101,static_router,1,completed,1,0.000334,0.000334,0,13.452485,4,1,1,0,1,4515,0,6,6,3,3,1,0.55584,0,0,,0,0,1
101:external_boltons_math-repair-3:static_router:verify-0,external,external_boltons_math,external_boltons_math-repair-3,101,static_router,0,completed,1,0.000257,0.000257,0,13.944883,3,1,1,0,1,3922,0,6,6,3,3,0,0,0,unknown,,0,0,0
101:external_boltons_math-repair-3:static_router:verify-1,external,external_boltons_math,external_boltons_math-repair-3,101,static_router,1,completed,1,0.0005,0.0005,0,21.063235,5,2,2,0,1,7737,0,6,6,3,3,1,0.504198,0,0,,1,0,0
31:external_boltons_math-repair-1:strong_only:verify-0,external,external_boltons_math,external_boltons_math-repair-1,31,strong_only,0,completed,1,0.000181,0.000181,0,21.038406,3,1,1,0,1,3156,0,6,6,3,3,0,0,0,unknown,,0,0,0
31:external_boltons_math-repair-1:strong_only:verify-1,external,external_boltons_math,external_boltons_math-repair-1,31,strong_only,1,completed,1,0.000177,0.000177,0,20.11119,4,1,1,0,1,3131,0,6,6,3,3,1,0.505422,0,0,,0,0,0
31:external_boltons_math-repair-2:strong_only:verify-0,external,external_boltons_math,external_boltons_math-repair-2,31,strong_only,0,completed,1,0.000148,0.000148,0,10.667115,3,1,1,0,1,2961,0,6,6,3,3,0,0,0,unknown,,0,0,0
31:external_boltons_math-repair-2:strong_only:verify-1,external,external_boltons_math,external_boltons_math-repair-2,31,strong_only,1,completed,1,0.000155,0.000155,0,13.247516,4,1,1,0,1,3001,0,6,6,3,3,1,0.452455,0,0,,0,0,0
31:external_boltons_math-repair-3:strong_only:verify-0,external,external_boltons_math,external_boltons_math-repair-3,31,strong_only,0,completed,1,0.000434,0.00043400000000000003,0,54.955823,4,2,2,0,1,6753,0,6,6,3,3,0,0,0,unknown,,1,0,0
31:external_boltons_math-repair-3:strong_only:verify-1,external,external_boltons_math,external_boltons_math-repair-3,31,strong_only,1,completed,1,0.002032,0.000429,0.0016029999999999998,90.28232,5,3,3,1,0,6587,15660,6,6,3,3,1,0.503088,0,0,,1,0,0
47:external_boltons_math-repair-1:strong_only:verify-0,external,external_boltons_math,external_boltons_math-repair-1,47,strong_only,0,completed,1,0.00042,0.00042,0,36.687379,4,2,2,0,1,6291,0,6,6,3,3,0,0,0,unknown,,1,0,0
47:external_boltons_math-repair-1:strong_only:verify-1,external,external_boltons_math,external_boltons_math-repair-1,47,strong_only,1,completed,1,0.000183,0.000183,0,16.758522,4,1,1,0,1,3166,0,6,6,3,3,1,0.50335,0,0,,0,0,0
47:external_boltons_math-repair-2:strong_only:verify-0,external,external_boltons_math,external_boltons_math-repair-2,47,strong_only,0,completed,1,0.000154,0.000154,0,10.147356,3,1,1,0,1,2996,0,6,6,3,3,0,0,0,unknown,,0,0,0
47:external_boltons_math-repair-2:strong_only:verify-1,external,external_boltons_math,external_boltons_math-repair-2,47,strong_only,1,completed,1,0.000152,0.000152,0,12.376184,4,1,1,0,1,2986,0,6,6,3,3,1,0.841794,0,0,,0,0,0
47:external_boltons_math-repair-3:strong_only:verify-0,external,external_boltons_math,external_boltons_math-repair-3,47,strong_only,0,completed,1,0.00021,0.00021,0,21.141651,3,1,1,0,1,3326,0,6,6,3,3,0,0,0,unknown,,0,0,1
47:external_boltons_math-repair-3:strong_only:verify-1,external,external_boltons_math,external_boltons_math-repair-3,47,strong_only,1,completed,1,0.000646,0.000646,0,63.116584,5,2,2,0,1,8056,0,6,6,3,3,1,0.503959,0,0,,1,0,0
73:external_boltons_math-repair-1:strong_only:verify-0,external,external_boltons_math,external_boltons_math-repair-1,73,strong_only,0,completed,1,0.000179,0.000179,0,13.910092,3,1,1,0,1,3140,0,6,6,3,3,0,0,0,unknown,,0,0,0
73:external_boltons_math-repair-1:strong_only:verify-1,external,external_boltons_math,external_boltons_math-repair-1,73,strong_only,1,completed,1,0.000182,0.000182,0,17.890372,4,1,1,0,1,3161,0,6,6,3,3,1,0.452879,0,0,,0,0,0
73:external_boltons_math-repair-2:strong_only:verify-0,external,external_boltons_math,external_boltons_math-repair-2,73,strong_only,0,completed,1,0.001756,0.000153,0.001603,39.498503,3,2,2,1,0,2984,15660,6,6,3,3,0,0,0,unknown,,1,0,0
